book,chapter,verse,reference,text
Mark,1,32,Mark 1:32,天晚日落的时候，有人带着一切害病的，和被鬼附的，来到耶稣跟前。
Mark,1,33,Mark 1:33,合城的人都聚集在门前。
Mark,1,34,Mark 1:34,耶稣治好了许多害各样病的人，又赶出许多鬼，不许鬼说话，因为鬼认识他。
Mark,1,35,Mark 1:35,次日早晨，天未亮的时候，耶稣起来，到旷野地方去，在那里祷告。
Mark,1,36,Mark 1:36,西门和同伴追了他去，
Mark,1,37,Mark 1:37,遇见了就对他说：「众人都找你。」
Mark,1,38,Mark 1:38,耶稣对他们说：「我们可以往别处去，到邻近的乡村，我也好在那里传道，因为我是为这事出来的。」
Mark,1,39,Mark 1:39,于是在加利利全地，进了会堂，传道，赶鬼。
Mark,1,40,Mark 1:40,有一个长大麻风的来求耶稣，向他跪下，说：「你若肯，必能叫我洁净了。」
Mark,1,41,Mark 1:41,耶稣动了慈心，就伸手摸他，说：「我肯，你洁净了吧！」
Mark,1,42,Mark 1:42,大麻风即时离开他，他就洁净了。
Mark,1,43,Mark 1:43,耶稣严严地嘱咐他，就打发他走，
Mark,1,44,Mark 1:44,对他说：「你要谨慎，什么话都不可告诉人，只要去把身体给祭司察看，又因为你洁净了，献上摩西所吩咐的礼物，对众人作证据。」
Mark,1,45,Mark 1:45,那人出去，倒说许多的话，把这件事传扬开了，叫耶稣以后不得再明明地进城，只好在外边旷野地方。人从各处都就了他来。
Mark,2,1,Mark 2:1,过了些日子，耶稣又进了迦百农。人听见他在房子里，
Mark,2,2,Mark 2:2,就有许多人聚集，甚至连门前都没有空地；耶稣就对他们讲道。
Mark,2,3,Mark 2:3,有人带着一个瘫子来见耶稣，是用四个人抬来的；
Mark,2,4,Mark 2:4,因为人多，不得近前，就把耶稣所在的房子，拆了房顶，既拆通了，就把瘫子连所躺卧的褥子都缒下来。
Mark,2,5,Mark 2:5,耶稣见他们的信心，就对瘫子说：「小子，你的罪赦了。」
Mark,2,6,Mark 2:6,有几个文士坐在那里，心里议论，说：
Mark,2,7,Mark 2:7,「这个人为什么这样说呢？他说僭妄的话了。除了 神以外，谁能赦罪呢？」
Mark,2,8,Mark 2:8,耶稣心中知道他们心里这样议论，就说：「你们心里为什么这样议论呢？
Mark,2,9,Mark 2:9,或对瘫子说『你的罪赦了』，或说『起来！拿你的褥子行走』，哪一样容易呢？
Mark,2,10,Mark 2:10,但要叫你们知道，人子在地上有赦罪的权柄。」就对瘫子说：
Mark,2,11,Mark 2:11,「我吩咐你，起来！拿你的褥子回家去吧。」
Mark,2,12,Mark 2:12,那人就起来，立刻拿着褥子，当众人面前出去了，以致众人都惊奇，归荣耀与 神，说：「我们从来没有见过这样的事！」
Mark,2,13,Mark 2:13,耶稣又出到海边去，众人都就了他来，他便教训他们。
Mark,2,14,Mark 2:14,耶稣经过的时候，看见亚勒腓的儿子利未坐在税关上，就对他说：「你跟从我来。」他就起来，跟从了耶稣。
Mark,2,15,Mark 2:15,耶稣在利未家里坐席的时候，有好些税吏和罪人与耶稣并门徒一同坐席；因为这样的人多，他们也跟随耶稣。
Mark,2,16,Mark 2:16,法利赛人中的文士 看见耶稣和罪人并税吏一同吃饭，就对他门徒说：「他和税吏并罪人一同吃喝吗？」
Mark,2,17,Mark 2:17,耶稣听见，就对他们说：「康健的人用不着医生，有病的人才用得着。我来本不是召义人，乃是召罪人。」
Mark,2,18,Mark 2:18,当下，约翰的门徒和法利赛人禁食。他们来问耶稣说：「约翰的门徒和法利赛人的门徒禁食，你的门徒倒不禁食，这是为什么呢？」
Mark,2,19,Mark 2:19,耶稣对他们说：「新郎和陪伴之人同在的时候，陪伴之人岂能禁食呢？新郎还同在，他们不能禁食。
Mark,2,20,Mark 2:20,但日子将到，新郎要离开他们，那日他们就要禁食。
Mark,2,21,Mark 2:21,没有人把新布缝在旧衣服上，恐怕所补上的新布带坏了旧衣服，破的就更大了。
Mark,2,22,Mark 2:22,也没有人把新酒装在旧皮袋里，恐怕酒把皮袋裂开，酒和皮袋就都坏了；惟把新酒装在新皮袋里。」
Mark,2,23,Mark 2:23,耶稣当安息日从麦地经过。他门徒行路的时候，掐了麦穗。
Mark,2,24,Mark 2:24,法利赛人对耶稣说：「看哪，他们在安息日为什么做不可做的事呢？」
Mark,2,25,Mark 2:25,耶稣对他们说：「经上记着大卫和跟从他的人缺乏饥饿之时所做的事，你们没有念过吗？
Mark,2,26,Mark 2:26,他当亚比亚他作大祭司的时候，怎么进了 神的殿，吃了陈设饼，又给跟从他的人吃。这饼除了祭司以外，人都不可吃。」
Mark,2,27,Mark 2:27,又对他们说：「安息日是为人设立的，人不是为安息日设立的。
Mark,2,28,Mark 2:28,所以，人子也是安息日的主。」
Mark,3,1,Mark 3:1,耶稣又进了会堂，在那里有一个人枯干了一只手。
Mark,3,2,Mark 3:2,众人窥探耶稣，在安息日医治不医治，意思是要控告耶稣。
Mark,3,3,Mark 3:3,耶稣对那枯干一只手的人说：「起来，站在当中。」
Mark,3,4,Mark 3:4,又问众人说：「在安息日行善行恶，救命害命，哪样是可以的呢？」他们都不作声。
Mark,3,5,Mark 3:5,耶稣怒目周围看他们，忧愁他们的心刚硬，就对那人说：「伸出手来！」他把手一伸，手就复了原。
Mark,3,6,Mark 3:6,法利赛人出去，同希律一党的人商议怎样可以除灭耶稣。
Mark,3,7,Mark 3:7,耶稣和门徒退到海边去，有许多人从加利利跟随他。
Mark,3,8,Mark 3:8,还有许多人听见他所做的大事，就从犹太、耶路撒冷、以土买、约旦河外，并泰尔、西顿的四方来到他那里。
Mark,3,9,Mark 3:9,他因为人多，就吩咐门徒叫一只小船伺候着，免得众人拥挤他。
Mark,3,10,Mark 3:10,他治好了许多人，所以凡有灾病的，都挤进来要摸他。
Mark,3,11,Mark 3:11,污鬼无论何时看见他，就俯伏在他面前，喊着说：「你是 神的儿子。」
Mark,3,12,Mark 3:12,耶稣再三地嘱咐他们，不要把他显露出来。
Mark,3,13,Mark 3:13,耶稣上了山，随自己的意思叫人来；他们便来到他那里。
Mark,3,14,Mark 3:14,他就设立十二个人，要他们常和自己同在，也要差他们去传道，
Mark,3,15,Mark 3:15,并给他们权柄赶鬼。
Mark,3,16,Mark 3:16,这十二个人有西门（耶稣又给他起名叫彼得），
Mark,3,17,Mark 3:17,还有西庇太的儿子雅各和雅各的兄弟约翰（又给这两个人起名叫半尼其，就是雷子的意思），
Mark,3,18,Mark 3:18,又有安得烈、腓力、巴多罗买、马太、多马、亚勒腓的儿子雅各，和达太，并奋锐党的西门，
Mark,3,19,Mark 3:19,还有卖耶稣的加略人犹大。
Mark,3,20,Mark 3:20,耶稣进了一个屋子，众人又聚集，甚至他连饭也顾不得吃。
Mark,3,21,Mark 3:21,耶稣的亲属听见，就出来要拉住他，因为他们说他癫狂了。
Mark,3,22,Mark 3:22,从耶路撒冷下来的文士说：「他是被别西卜附着」；又说：「他是靠着鬼王赶鬼。」
Mark,3,23,Mark 3:23,耶稣叫他们来，用比喻对他们说：「撒但怎能赶出撒但呢？
Mark,3,24,Mark 3:24,若一国自相纷争，那国就站立不住；
Mark,3,25,Mark 3:25,若一家自相纷争，那家就站立不住。
Mark,3,26,Mark 3:26,若撒但自相攻打纷争，他就站立不住，必要灭亡。
Mark,3,27,Mark 3:27,没有人能进壮士家里，抢夺他的家具；必先捆住那壮士，才可以抢夺他的家。
Mark,3,28,Mark 3:28,我实在告诉你们，世人一切的罪和一切亵渎的话都可得赦免；
Mark,3,29,Mark 3:29,凡亵渎圣灵的，却永不得赦免，乃要担当永远的罪。」
Mark,3,30,Mark 3:30,这话是因为他们说：「他是被污鬼附着的。」
Mark,3,31,Mark 3:31,当下，耶稣的母亲和弟兄来，站在外边，打发人去叫他。
Mark,3,32,Mark 3:32,有许多人在耶稣周围坐着，他们就告诉他说：「看哪，你母亲和你弟兄在外边找你。」
Mark,3,33,Mark 3:33,耶稣回答说：「谁是我的母亲？谁是我的弟兄？」
Mark,3,34,Mark 3:34,就四面观看那周围坐着的人，说：「看哪，我的母亲，我的弟兄。
Mark,3,35,Mark 3:35,凡遵行 神旨意的人就是我的弟兄姊妹和母亲了。」
Mark,4,1,Mark 4:1,耶稣又在海边教训人。有许多人到他那里聚集，他只得上船坐下。船在海里，众人都靠近海，站在岸上。
Mark,4,2,Mark 4:2,耶稣就用比喻教训他们许多道理。在教训之间，对他们说：
Mark,4,3,Mark 4:3,「你们听啊！有一个撒种的出去撒种。
Mark,4,4,Mark 4:4,撒的时候，有落在路旁的，飞鸟来吃尽了；
Mark,4,5,Mark 4:5,有落在土浅石头地上的，土既不深，发苗最快，
Mark,4,6,Mark 4:6,日头出来一晒，因为没有根，就枯干了；
Mark,4,7,Mark 4:7,有落在荆棘里的，荆棘长起来，把它挤住了，就不结实；
Mark,4,8,Mark 4:8,又有落在好土里的，就发生长大，结实有三十倍的，有六十倍的，有一百倍的」；
Mark,4,9,Mark 4:9,又说：「有耳可听的，就应当听！」
Mark,4,10,Mark 4:10,无人的时候，跟随耶稣的人和十二个门徒问他这比喻的意思。
Mark,4,11,Mark 4:11,耶稣对他们说：「 神国的奥秘只叫你们知道，若是对外人讲，凡事就用比喻，
Mark,4,12,Mark 4:12,叫他们 看是看见，却不晓得； 听是听见，却不明白； 恐怕他们回转过来，就得赦免。」
Mark,4,13,Mark 4:13,又对他们说：「你们不明白这比喻吗？这样怎能明白一切的比喻呢？
Mark,4,14,Mark 4:14,撒种之人所撒的就是道。
Mark,4,15,Mark 4:15,那撒在路旁的，就是人听了道，撒但立刻来，把撒在他心里的道夺了去。
Mark,4,16,Mark 4:16,那撒在石头地上的，就是人听了道，立刻欢喜领受，
Mark,4,17,Mark 4:17,但他心里没有根，不过是暂时的，及至为道遭了患难，或是受了逼迫，立刻就跌倒了。
Mark,4,18,Mark 4:18,还有那撒在荆棘里的，就是人听了道，
Mark,4,19,Mark 4:19,后来有世上的思虑、钱财的迷惑，和别样的私欲进来，把道挤住了，就不能结实。
Mark,4,20,Mark 4:20,那撒在好地上的，就是人听道，又领受，并且结实，有三十倍的，有六十倍的，有一百倍的。」
Mark,4,21,Mark 4:21,耶稣又对他们说：「人拿灯来，岂是要放在斗底下，床底下，不放在灯台上吗？
Mark,4,22,Mark 4:22,因为掩藏的事，没有不显出来的；隐瞒的事，没有不露出来的。
Mark,4,23,Mark 4:23,有耳可听的，就应当听！」
Mark,4,24,Mark 4:24,又说：「你们所听的要留心。你们用什么量器量给人，也必用什么量器量给你们，并且要多给你们。
Mark,4,25,Mark 4:25,因为有的，还要给他；没有的，连他所有的也要夺去。」
Mark,4,26,Mark 4:26,又说：「 神的国如同人把种撒在地上。
Mark,4,27,Mark 4:27,黑夜睡觉，白日起来，这种就发芽渐长，那人却不晓得如何这样。
Mark,4,28,Mark 4:28,地生五谷是出于自然的：先发苗，后长穗，再后穗上结成饱满的子粒；
Mark,4,29,Mark 4:29,谷既熟了，就用镰刀去割，因为收成的时候到了。」
Mark,4,30,Mark 4:30,又说：「 神的国，我们可用什么比较呢？可用什么比喻表明呢？
Mark,4,31,Mark 4:31,好像一粒芥菜种，种在地里的时候，虽比地上的百种都小，
Mark,4,32,Mark 4:32,但种上以后，就长起来，比各样的菜都大，又长出大枝来，甚至天上的飞鸟可以宿在它的荫下。」
Mark,4,33,Mark 4:33,耶稣用许多这样的比喻，照他们所能听的，对他们讲道。
Mark,4,34,Mark 4:34,若不用比喻，就不对他们讲；没有人的时候，就把一切的道讲给门徒听。
Mark,4,35,Mark 4:35,当那天晚上，耶稣对门徒说：「我们渡到那边去吧。」
Mark,4,36,Mark 4:36,门徒离开众人，耶稣仍在船上，他们就把他一同带去；也有别的船和他同行。
Mark,4,37,Mark 4:37,忽然起了暴风，波浪打入船内，甚至船要满了水。
Mark,4,38,Mark 4:38,耶稣在船尾上，枕着枕头睡觉。门徒叫醒了他，说：「夫子！我们丧命，你不顾吗？」
Mark,4,39,Mark 4:39,耶稣醒了，斥责风，向海说：「住了吧！静了吧！」风就止住，大大地平静了。
Mark,4,40,Mark 4:40,耶稣对他们说：「为什么胆怯？你们还没有信心吗？」
Mark,4,41,Mark 4:41,他们就大大地惧怕，彼此说：「这到底是谁，连风和海也听从他了。」
Mark,5,1,Mark 5:1,他们来到海那边格拉森人的地方。
Mark,5,2,Mark 5:2,耶稣一下船，就有一个被污鬼附着的人从坟茔里出来迎着他。
Mark,5,3,Mark 5:3,那人常住在坟茔里，没有人能捆住他，就是用铁链也不能；
Mark,5,4,Mark 5:4,因为人屡次用脚镣和铁链捆锁他，铁链竟被他挣断了，脚镣也被他弄碎了；总没有人能制伏他。
Mark,5,5,Mark 5:5,他昼夜常在坟茔里和山中喊叫，又用石头砍自己。
Mark,5,6,Mark 5:6,他远远地看见耶稣，就跑过去拜他，
Mark,5,7,Mark 5:7,大声呼叫说：「至高 神的儿子耶稣，我与你有什么相干？我指着 神恳求你，不要叫我受苦！」
Mark,5,8,Mark 5:8,是因耶稣曾吩咐他说：「污鬼啊，从这人身上出来吧！」
Mark,5,9,Mark 5:9,耶稣问他说：「你名叫什么？」回答说：「我名叫『群』，因为我们多的缘故」；
Mark,5,10,Mark 5:10,就再三地求耶稣，不要叫他们离开那地方。
Mark,5,11,Mark 5:11,在那里山坡上，有一大群猪吃食；
Mark,5,12,Mark 5:12,鬼就央求耶稣说：「求你打发我们往猪群里，附着猪去。」
Mark,5,13,Mark 5:13,耶稣准了他们，污鬼就出来，进入猪里去。于是那群猪闯下山崖，投在海里，淹死了。猪的数目约有二千。
Mark,5,14,Mark 5:14,放猪的就逃跑了，去告诉城里和乡下的人。众人就来，要看是什么事。
Mark,5,15,Mark 5:15,他们来到耶稣那里，看见那被鬼附着的人，就是从前被群鬼所附的，坐着，穿上衣服，心里明白过来，他们就害怕。
Mark,5,16,Mark 5:16,看见这事的，便将鬼附之人所遇见的和那群猪的事都告诉了众人；
Mark,5,17,Mark 5:17,众人就央求耶稣离开他们的境界。
Mark,5,18,Mark 5:18,耶稣上船的时候，那从前被鬼附着的人恳求和耶稣同在。
Mark,5,19,Mark 5:19,耶稣不许，却对他说：「你回家去，到你的亲属那里，将主为你所做的是何等大的事，是怎样怜悯你，都告诉他们。」
Mark,5,20,Mark 5:20,那人就走了，在低加坡里传扬耶稣为他做了何等大的事，众人就都希奇。
Mark,5,21,Mark 5:21,耶稣坐船又渡到那边去，就有许多人到他那里聚集；他正在海边上。
Mark,5,22,Mark 5:22,有一个管会堂的人，名叫睚鲁，来见耶稣，就俯伏在他脚前，
Mark,5,23,Mark 5:23,再三地求他，说：「我的小女儿快要死了，求你去按手在她身上，使她痊愈，得以活了。」
Mark,5,24,Mark 5:24,耶稣就和他同去。 有许多人跟随拥挤他。
Mark,5,25,Mark 5:25,有一个女人，患了十二年的血漏，
Mark,5,26,Mark 5:26,在好些医生手里受了许多的苦，又花尽了她所有的，一点也不见好，病势反倒更重了。
Mark,5,27,Mark 5:27,她听见耶稣的事，就从后头来，杂在众人中间，摸耶稣的衣裳，
Mark,5,28,Mark 5:28,意思说：「我只摸他的衣裳，就必痊愈。」
Mark,5,29,Mark 5:29,于是她血漏的源头立刻干了；她便觉得身上的灾病好了。
Mark,5,30,Mark 5:30,耶稣顿时心里觉得有能力从自己身上出去，就在众人中间转过来，说：「谁摸我的衣裳？」
Mark,5,31,Mark 5:31,门徒对他说：「你看众人拥挤你，还说『谁摸我』吗？」
Mark,5,32,Mark 5:32,耶稣周围观看，要见做这事的女人。
Mark,5,33,Mark 5:33,那女人知道在自己身上所成的事，就恐惧战兢，来俯伏在耶稣跟前，将实情全告诉他。
Mark,5,34,Mark 5:34,耶稣对她说：「女儿，你的信救了你，平平安安地回去吧！你的灾病痊愈了。」
Mark,5,35,Mark 5:35,还说话的时候，有人从管会堂的家里来，说：「你的女儿死了，何必还劳动先生呢？」
Mark,5,36,Mark 5:36,耶稣听见所说的话，就对管会堂的说：「不要怕，只要信！」
Mark,5,37,Mark 5:37,于是带着彼得、雅各，和雅各的兄弟约翰同去，不许别人跟随他。
Mark,5,38,Mark 5:38,他们来到管会堂的家里；耶稣看见那里乱嚷，并有人大大地哭泣哀号，
Mark,5,39,Mark 5:39,进到里面，就对他们说：「为什么乱嚷哭泣呢？孩子不是死了，是睡着了。」
Mark,5,40,Mark 5:40,他们就嗤笑耶稣。耶稣把他们都撵出去，就带着孩子的父母和跟随的人进了孩子所在的地方，
Mark,5,41,Mark 5:41,就拉着孩子的手，对她说：「大利大，古米！」（翻出来就是说：「闺女，我吩咐你起来！」）
Mark,5,42,Mark 5:42,那闺女立时起来走。他们就大大地惊奇；闺女已经十二岁了。
Mark,5,43,Mark 5:43,耶稣切切地嘱咐他们，不要叫人知道这事，又吩咐给她东西吃。
Mark,6,1,Mark 6:1,耶稣离开那里，来到自己的家乡；门徒也跟从他。
Mark,6,2,Mark 6:2,到了安息日，他在会堂里教训人。众人听见，就甚希奇，说：「这人从哪里有这些事呢？所赐给他的是什么智慧？他手所做的是何等的异能呢？
Mark,6,3,Mark 6:3,这不是那木匠吗？不是马利亚的儿子雅各、约西、犹大、西门的长兄吗？他妹妹们不也是在我们这里吗？」他们就厌弃他 。
Mark,6,4,Mark 6:4,耶稣对他们说：「大凡先知，除了本地、亲属、本家之外，没有不被人尊敬的。」
Mark,6,5,Mark 6:5,耶稣就在那里不得行什么异能，不过按手在几个病人身上，治好他们。
Mark,6,6,Mark 6:6,他也诧异他们不信，就往周围乡村教训人去了。
Mark,6,7,Mark 6:7,耶稣叫了十二个门徒来，差遣他们两个两个地出去，也赐给他们权柄，制伏污鬼；
Mark,6,8,Mark 6:8,并且嘱咐他们：「行路的时候不要带食物和口袋，腰袋里也不要带钱，除了拐杖以外，什么都不要带；
Mark,6,9,Mark 6:9,只要穿鞋，也不要穿两件褂子」；
Mark,6,10,Mark 6:10,又对他们说：「你们无论到何处，进了人的家，就住在那里，直到离开那地方。
Mark,6,11,Mark 6:11,何处的人不接待你们，不听你们，你们离开那里的时候，就把脚上的尘土跺下去，对他们作见证。」
Mark,6,12,Mark 6:12,门徒就出去传道，叫人悔改，
Mark,6,13,Mark 6:13,又赶出许多的鬼，用油抹了许多病人，治好他们。
Mark,6,14,Mark 6:14,耶稣的名声传扬出来。希律王听见了，就说：「施洗的约翰从死里复活了，所以这些异能由他里面发出来。」
Mark,6,15,Mark 6:15,但别人说：「是以利亚。」又有人说：「是先知，正像先知中的一位。」
Mark,6,16,Mark 6:16,希律听见却说：「是我所斩的约翰，他复活了。」
Mark,6,17,Mark 6:17,先是希律为他兄弟腓力的妻子希罗底的缘故，差人去拿住约翰，锁在监里，因为希律已经娶了那妇人。
Mark,6,18,Mark 6:18,约翰曾对希律说：「你娶你兄弟的妻子是不合理的。」
Mark,6,19,Mark 6:19,于是希罗底怀恨他，想要杀他，只是不能；
Mark,6,20,Mark 6:20,因为希律知道约翰是义人，是圣人，所以敬畏他，保护他，听他讲论，就多照着行 ，并且乐意听他。
Mark,6,21,Mark 6:21,有一天，恰巧是希律的生日，希律摆设筵席，请了大臣和千夫长，并加利利作首领的。
Mark,6,22,Mark 6:22,希罗底的女儿进来跳舞，使希律和同席的人都欢喜。王就对女子说：「你随意向我求什么，我必给你。」
Mark,6,23,Mark 6:23,又对她起誓说：「随你向我求什么，就是我国的一半，我也必给你。」
Mark,6,24,Mark 6:24,她就出去对她母亲说：「我可以求什么呢？」她母亲说：「施洗约翰的头。」
Mark,6,25,Mark 6:25,她就急忙进去见王，求他说：「我愿王立时把施洗约翰的头放在盘子里给我。」
Mark,6,26,Mark 6:26,王就甚忧愁；但因他所起的誓，又因同席的人，就不肯推辞，
Mark,6,27,Mark 6:27,随即差一个护卫兵，吩咐拿约翰的头来。护卫兵就去，在监里斩了约翰，
Mark,6,28,Mark 6:28,把头放在盘子里，拿来给女子，女子就给她母亲。
Mark,6,29,Mark 6:29,约翰的门徒听见了，就来把他的尸首领去，葬在坟墓里。
Mark,6,30,Mark 6:30,使徒聚集到耶稣那里，将一切所做的事、所传的道全告诉他。
Mark,6,31,Mark 6:31,他就说：「你们来，同我暗暗地到旷野地方去歇一歇。」这是因为来往的人多，他们连吃饭也没有工夫。
Mark,6,32,Mark 6:32,他们就坐船，暗暗地往旷野地方去。
Mark,6,33,Mark 6:33,众人看见他们去，有许多认识他们的，就从各城步行，一同跑到那里，比他们先赶到了。
Mark,6,34,Mark 6:34,耶稣出来，见有许多的人，就怜悯他们，因为他们如同羊没有牧人一般，于是开口教训他们许多道理。
Mark,6,35,Mark 6:35,天已经晚了，门徒进前来，说：「这是野地，天已经晚了，
Mark,6,36,Mark 6:36,请叫众人散开，他们好往四面乡村里去，自己买什么吃。」
Mark,6,37,Mark 6:37,耶稣回答说：「你们给他们吃吧。」门徒说：「我们可以去买二十两银子的饼给他们吃吗？」
Mark,6,38,Mark 6:38,耶稣说：「你们有多少饼，可以去看看。」他们知道了，就说：「五个饼，两条鱼。」
Mark,6,39,Mark 6:39,耶稣吩咐他们，叫众人一帮一帮地坐在青草地上。
Mark,6,40,Mark 6:40,众人就一排一排地坐下，有一百一排的，有五十一排的。
Mark,6,41,Mark 6:41,耶稣拿着这五个饼，两条鱼，望着天祝福，擘开饼，递给门徒，摆在众人面前，也把那两条鱼分给众人。
Mark,6,42,Mark 6:42,他们都吃，并且吃饱了。
Mark,6,43,Mark 6:43,门徒就把碎饼碎鱼收拾起来，装满了十二个篮子。
Mark,6,44,Mark 6:44,吃饼的男人共有五千。
Mark,6,45,Mark 6:45,耶稣随即催门徒上船，先渡到那边伯赛大去，等他叫众人散开。
Mark,6,46,Mark 6:46,他既辞别了他们，就往山上去祷告。
Mark,6,47,Mark 6:47,到了晚上，船在海中，耶稣独自在岸上；
Mark,6,48,Mark 6:48,看见门徒因风不顺，摇橹甚苦。夜里约有四更天，就在海面上走，往他们那里去，意思要走过他们去。
Mark,6,49,Mark 6:49,但门徒看见他在海面上走，以为是鬼怪，就喊叫起来；
Mark,6,50,Mark 6:50,因为他们都看见了他，且甚惊慌。耶稣连忙对他们说：「你们放心！是我，不要怕！」
Mark,6,51,Mark 6:51,于是到他们那里，上了船，风就住了；他们心里十分惊奇。
Mark,6,52,Mark 6:52,这是因为他们不明白那分饼的事，心里还是愚顽。
Mark,6,53,Mark 6:53,既渡过去，来到革尼撒勒地方，就靠了岸，
Mark,6,54,Mark 6:54,一下船，众人认得是耶稣，
Mark,6,55,Mark 6:55,就跑遍那一带地方，听见他在何处，便将有病的人用褥子抬到那里。
Mark,6,56,Mark 6:56,凡耶稣所到的地方，或村中，或城里，或乡间，他们都将病人放在街市上，求耶稣只容他们摸他的衣裳 子；凡摸着的人就都好了。
Mark,7,1,Mark 7:1,有法利赛人和几个文士从耶路撒冷来，到耶稣那里聚集。
Mark,7,2,Mark 7:2,他们曾看见他的门徒中有人用俗手，就是没有洗的手，吃饭。（
Mark,7,3,Mark 7:3,原来法利赛人和犹太人都拘守古人的遗传，若不仔细洗手就不吃饭；
Mark,7,4,Mark 7:4,从市上来，若不洗浴也不吃饭；还有好些别的规矩，他们历代拘守，就是洗杯、罐、铜器等物。）
Mark,7,5,Mark 7:5,法利赛人和文士问他说：「你的门徒为什么不照古人的遗传，用俗手吃饭呢？」
Mark,7,6,Mark 7:6,耶稣说：「以赛亚指着你们假冒为善之人所说的预言是不错的。如经上说： 这百姓用嘴唇尊敬我， 心却远离我。
Mark,7,7,Mark 7:7,他们将人的吩咐当作道理教导人， 所以拜我也是枉然。
Mark,7,8,Mark 7:8,你们是离弃 神的诫命，拘守人的遗传」；
Mark,7,9,Mark 7:9,又说：「你们诚然是废弃 神的诫命，要守自己的遗传。
Mark,7,10,Mark 7:10,摩西说：『当孝敬父母』；又说：『咒骂父母的，必治死他。』
Mark,7,11,Mark 7:11,你们倒说：『人若对父母说：我所当奉给你的，已经作了各耳板』（各耳板就是供献的意思），
Mark,7,12,Mark 7:12,以后你们就不容他再奉养父母。
Mark,7,13,Mark 7:13,这就是你们承接遗传，废了 神的道。你们还做许多这样的事。」
Mark,7,14,Mark 7:14,耶稣又叫众人来，对他们说：「你们都要听我的话，也要明白。
Mark,7,15,Mark 7:15,从外面进去的不能污秽人，惟有从里面出来的乃能污秽人。」
Mark,7,16,Mark 7:16,有耳可听的，就应当听！
Mark,7,17,Mark 7:17,耶稣离开众人，进了屋子，门徒就问他这比喻的意思。
Mark,7,18,Mark 7:18,耶稣对他们说：「你们也是这样不明白吗？岂不晓得凡从外面进入的，不能污秽人，
Mark,7,19,Mark 7:19,因为不是入他的心，乃是入他的肚腹，又落到茅厕里（这是说，各样的食物都是洁净的）」；
Mark,7,20,Mark 7:20,又说：「从人里面出来的，那才能污秽人；
