book_order,book,chapter,verse,reference,text
41,Mark,1,16,Mark 1:16,Καὶ παράγων δὲ παρὰ τὴν θάλασσαν τῆς Γαλιλαίας εἶδεν Σίμωνα καὶ Ἀνδρέαν τὸν ἀδελφὸν αὐτοῦ τοῦ Σίμωνος ἀμφιβάλλοντας ἀμφίβληστρον ἐν τῇ θαλάσσῃ· ἦσαν γὰρ ἁλιεῖς.
41,Mark,1,17,Mark 1:17,"καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς· δεῦτε ὀπίσω μου, καὶ ποιήσω ὑμᾶς γενέσθαι ἁλιεῖς ἀνθρώπων."
41,Mark,1,18,Mark 1:18,καὶ εὐθὺς ἀφέντες τὰ δίκτυα αὐτῶν ἠκολούθησαν αὐτῷ.¶
41,Mark,1,19,Mark 1:19,"Καὶ προβὰς ἐκεῖθεν ὀλίγον εἶδεν Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν αὐτοῦ, καὶ αὐτοὺς ἐν τῷ πλοίῳ καταρτίζοντας τὰ δίκτυα,"
41,Mark,1,20,Mark 1:20,καὶ εὐθὺς ἐκάλεσεν αὐτούς. καὶ ἀφέντες τὸν πατέρα αὐτῶν Ζεβεδαῖον ἐν τῷ πλοίῳ μετὰ τῶν μισθωτῶν ἀπῆλθον ὀπίσω αὐτοῦ.¶
41,Mark,1,21,Mark 1:21,Καὶ εἰσπορεύονται εἰς Καφαρναούμ. καὶ εὐθὺς τοῖς σάββασιν εἰσελθὼν εἰς τὴν συναγωγὴν ἐδίδασκεν.
41,Mark,1,22,Mark 1:22,καὶ ἐξεπλήσσοντο ἐπὶ τῇ διδαχῇ αὐτοῦ· ἦν γὰρ διδάσκων αὐτοὺς ὡς ἐξουσίαν ἔχων καὶ οὐχ ὡς οἱ γραμματεῖς.¶
41,Mark,1,23,Mark 1:23,Καὶ εὐθὺς ἦν ἐν τῇ συναγωγῇ αὐτῶν ἄνθρωπος ἐν πνεύματι ἀκαθάρτῳ καὶ ἀνέκραξεν
41,Mark,1,24,Mark 1:24,"λέγων· ἔα τί ἡμῖν καὶ σοί, Ἰησοῦ Ναζαρηνέ; ἦλθες ἀπολέσαι ἡμᾶς; οἶδά σε τίς εἶ, ὁ ἅγιος τοῦ θεοῦ."
41,Mark,1,25,Mark 1:25,καὶ ἐπετίμησεν αὐτῷ ὁ Ἰησοῦς λέγων· φιμώθητι καὶ ἔξελθε ἐξ αὐτοῦ.
41,Mark,1,26,Mark 1:26,καὶ σπαράξαν αὐτὸν τὸ πνεῦμα τὸ ἀκάθαρτον καὶ φωνῆσαν φωνῇ μεγάλῃ ἐξῆλθεν ἐξ αὐτοῦ.
41,Mark,1,27,Mark 1:27,"καὶ ἐθαμβήθησαν ἅπαντες ὥστε συζητεῖν πρὸς ἑαυτοὺς (he'autous) λέγοντας· τί ἐστιν τοῦτο; τίς ἡ διδαχὴ ἡ καινὴ αὕτη ὅτι κατ᾽ (kat᾽) ἐξουσίαν· καὶ τοῖς πνεύμασιν τοῖς ἀκαθάρτοις ἐπιτάσσει, καὶ ὑπακούουσιν αὐτῷ.¶"
41,Mark,1,28,Mark 1:28,Καὶ ἐξῆλθεν δὲ ἡ ἀκοὴ αὐτοῦ εὐθὺς πανταχοῦ εἰς ὅλην τὴν περίχωρον τῆς Γαλιλαίας.¶
41,Mark,1,29,Mark 1:29,Καὶ εὐθὺς ἐκ τῆς συναγωγῆς ἐξελθόντες ἦλθον εἰς τὴν οἰκίαν Σίμωνος καὶ Ἀνδρέου μετὰ Ἰακώβου καὶ Ἰωάννου.
41,Mark,1,30,Mark 1:30,"ἡ δὲ πενθερὰ Σίμωνος κατέκειτο πυρέσσουσα, καὶ εὐθὺς λέγουσιν αὐτῷ περὶ αὐτῆς."
41,Mark,1,31,Mark 1:31,"καὶ προσελθὼν ἤγειρεν αὐτὴν κρατήσας τῆς χειρός αὐτῆς· καὶ ἀφῆκεν αὐτὴν ὁ πυρετός εὐθέως, καὶ διηκόνει αὐτοῖς.¶"
41,Mark,1,32,Mark 1:32,"Ὀψίας δὲ γενομένης, ὅτε ἔδυ ὁ ἥλιος, ἔφερον πρὸς αὐτὸν πάντας τοὺς κακῶς ἔχοντας καὶ τοὺς δαιμονιζομένους·"
41,Mark,1,33,Mark 1:33,καὶ ἦν ὅλη ἡ πόλις ἐπισυνηγμένη πρὸς τὴν θύραν.
41,Mark,1,34,Mark 1:34,καὶ ἐθεράπευσεν πολλοὺς κακῶς ἔχοντας ποικίλαις νόσοις καὶ δαιμόνια πολλὰ ἐξέβαλεν καὶ οὐκ ἤφιεν λαλεῖν τὰ δαιμόνια ὅτι ᾔδεισαν αὐτόν Χριστὸν εἶναι.¶
41,Mark,1,35,Mark 1:35,Καὶ πρωῒ ἔννυχα λίαν ἀναστὰς ἐξῆλθεν καὶ ἀπῆλθεν εἰς ἔρημον τόπον κἀκεῖ προσηύχετο.
41,Mark,1,36,Mark 1:36,καὶ κατεδίωξεν αὐτὸν ὁ Σίμων καὶ οἱ μετ᾽ (met᾽) αὐτοῦ·
41,Mark,1,37,Mark 1:37,καὶ εὗρον αὐτὸν καὶ λέγουσιν αὐτῷ ὅτι πάντες ζητοῦσίν σε.¶
41,Mark,1,38,Mark 1:38,Καὶ λέγει αὐτοῖς· ἄγωμεν ἀλλαχοῦ εἰς τὰς ἐχομένας κωμοπόλεις ἵνα καὶ ἐκεῖ κηρύξω· εἰς τοῦτο γὰρ ἐξῆλθον.¶
41,Mark,1,39,Mark 1:39,Καὶ ἦλθεν κηρύσσων εἰς τὰς συναγωγὰς αὐτῶν εἰς ὅλην τὴν Γαλιλαίαν καὶ τὰ δαιμόνια ἐκβάλλων.¶
41,Mark,1,40,Mark 1:40,Καὶ ἔρχεται πρὸς αὐτὸν λεπρὸς παρακαλῶν αὐτὸν καὶ γονυπετῶν αὐτὸν καὶ λέγων αὐτῷ ὅτι ἐὰν θέλῃς δύνασαί με καθαρίσαι.
41,Mark,1,41,Mark 1:41,"ὁ καὶ Ἰησοῦς σπλαγχνισθεὶς ἐκτείνας τὴν χεῖρα αὐτοῦ ἥψατο καὶ λέγει αὐτῷ· θέλω, καθαρίσθητι."
41,Mark,1,42,Mark 1:42,"καὶ εἰπόντος αὐτοῦ εὐθὺς ἀπῆλθεν ἀπ᾽ (ap᾽) αὐτοῦ ἡ λέπρα, καὶ ἐκαθαρίσθη."
41,Mark,1,43,Mark 1:43,καὶ ἐμβριμησάμενος αὐτῷ εὐθὺς ἐξέβαλεν αὐτὸν
41,Mark,1,44,Mark 1:44,"καὶ λέγει αὐτῷ· ὅρα, μηδενὶ μηδὲν εἴπῃς· ἀλλ᾽ (all᾽) ὕπαγε, σεαυτὸν δεῖξον τῷ ἱερεῖ (hi'erei) καὶ προσένεγκε περὶ τοῦ καθαρισμοῦ σου ἃ προσέταξεν Μωϋσῆς εἰς μαρτύριον αὐτοῖς."
41,Mark,1,45,Mark 1:45,"ὁ δὲ ἐξελθὼν ἤρξατο κηρύσσειν πολλὰ καὶ διαφημίζειν τὸν λόγον ὥστε μηκέτι αὐτὸν δύνασθαι φανερῶς εἰς πόλιν εἰσελθεῖν, ἀλλ᾽ (all᾽) ἔξω ἐπ᾽ (ep᾽) ἐρήμοις τόποις ἦν. καὶ ἤρχοντο πρὸς αὐτὸν πάντοθεν.¶"
41,Mark,2,1,Mark 2:1,Καὶ εἰσελθὼν πάλιν εἰς Καφαρναοὺμ δι᾽ (di᾽) ἡμερῶν καὶ ἠκούσθη ὅτι ἐν οἴκῳ ἐστίν.
41,Mark,2,2,Mark 2:2,"καὶ εὐθέως συνήχθησαν πολλοὶ ὥστε μηκέτι χωρεῖν μηδὲ τὰ πρὸς τὴν θύραν, καὶ ἐλάλει αὐτοῖς τὸν λόγον.¶"
41,Mark,2,3,Mark 2:3,Καὶ ἔρχονται φέροντες πρὸς αὐτὸν παραλυτικὸν αἰρόμενον ὑπὸ τεσσάρων.
41,Mark,2,4,Mark 2:4,καὶ μὴ δυνάμενοι προσενέγκαι αὐτῷ διὰ τὸν ὄχλον ἀπεστέγασαν τὴν στέγην ὅπου ἦν καὶ ἐξορύξαντες χαλῶσιν τὸν κράβαττον ὅπου ὁ παραλυτικὸς κατέκειτο.
41,Mark,2,5,Mark 2:5,"καὶ ἰδὼν δὲ ὁ Ἰησοῦς τὴν πίστιν αὐτῶν λέγει τῷ παραλυτικῷ· τέκνον, ἀφίενταί σου αἱ ἁμαρτίαι σου."
41,Mark,2,6,Mark 2:6,ἦσαν δέ τινες τῶν γραμματέων ἐκεῖ καθήμενοι καὶ διαλογιζόμενοι ἐν ταῖς καρδίαις αὐτῶν·
41,Mark,2,7,Mark 2:7,τί οὗτος οὕτως λαλεῖ; βλασφημεῖ· τίς δύναται ἀφιέναι ἁμαρτίας εἰ μὴ εἷς ὁ θεός;
41,Mark,2,8,Mark 2:8,καὶ εὐθὺς ἐπιγνοὺς ὁ Ἰησοῦς τῷ πνεύματι αὐτοῦ ὅτι οὕτως αὐτοὶ διαλογίζονται ἐν ἑαυτοῖς (he'autois) λέγει αὐτοῖς· τί ταῦτα διαλογίζεσθε ἐν ταῖς καρδίαις ὑμῶν;
41,Mark,2,9,Mark 2:9,"τί ἐστιν εὐκοπώτερον, εἰπεῖν τῷ παραλυτικῷ· ἀφίενταί σου αἱ ἁμαρτίαι, ἢ εἰπεῖν· ἔγειρε καὶ ἆρον τὸν κράβαττόν σου καὶ περιπάτει;¶"
41,Mark,2,10,Mark 2:10,"Ἵνα δὲ εἰδῆτε ὅτι ἐξουσίαν ἔχει ὁ υἱὸς τοῦ ἀνθρώπου ἀφιέναι ἁμαρτίας ἐπὶ τῆς γῆς, λέγει τῷ παραλυτικῷ·"
41,Mark,2,11,Mark 2:11,"σοὶ λέγω· ἔγειρε, καὶ ἆρον τὸν κράβαττόν σου καὶ ὕπαγε εἰς τὸν οἶκόν σου.¶"
41,Mark,2,12,Mark 2:12,Καὶ ἠγέρθη καὶ εὐθὺς ἄρας τὸν κράβαττον ἐξῆλθεν ἔμπροσθεν πάντων ὥστε ἐξίστασθαι πάντας καὶ δοξάζειν τὸν θεὸν λέγοντας ὅτι οὕτως οὐδέποτε εἴδομεν.¶
41,Mark,2,13,Mark 2:13,"Καὶ ἐξῆλθεν πάλιν παρὰ τὴν θάλασσαν, καὶ πᾶς ὁ ὄχλος ἤρχετο πρὸς αὐτόν, καὶ ἐδίδασκεν αὐτούς.¶"
41,Mark,2,14,Mark 2:14,Καὶ παράγων εἶδεν Λευὶν τὸν τοῦ Ἁλφαίου καθήμενον ἐπὶ τὸ τελώνιον καὶ λέγει αὐτῷ· ἀκολούθει μοι. καὶ ἀναστὰς ἠκολούθησεν αὐτῷ.¶
41,Mark,2,15,Mark 2:15,"Καὶ γίνεται ἐν τῷ κατακεῖσθαι αὐτὸν ἐν τῇ οἰκίᾳ αὐτοῦ, καὶ πολλοὶ τελῶναι καὶ ἁμαρτωλοὶ συνανέκειντο τῷ Ἰησοῦ καὶ τοῖς μαθηταῖς αὐτοῦ· ἦσαν γὰρ πολλοί, καὶ ἠκολούθουν αὐτῷ."
41,Mark,2,16,Mark 2:16,καὶ οἱ γραμματεῖς καὶ τῶν Φαρισαίων καὶ ἰδόντες ὅτι ἐσθίει μετὰ τῶν ἁμαρτωλῶν καὶ τελωνῶν ἔλεγον τοῖς μαθηταῖς αὐτοῦ· τί ὅτι μετὰ τῶν τελωνῶν καὶ ἁμαρτωλῶν ἐσθίει καὶ πίνει;¶
41,Mark,2,17,Mark 2:17,Καὶ ἀκούσας ὁ Ἰησοῦς λέγει αὐτοῖς· ὅτι οὐ χρείαν ἔχουσιν οἱ ἰσχύοντες ἰατροῦ ἀλλ᾽ (all᾽) οἱ κακῶς ἔχοντες· οὐκ ἦλθον καλέσαι δικαίους ἀλλ᾽ (all᾽) ἁμαρτωλούς εἰς μετάνοιαν.¶
41,Mark,2,18,Mark 2:18,"Καὶ ἦσαν οἱ μαθηταὶ Ἰωάννου καὶ οἱ τῶν Φαρισαῖοι νηστεύοντες καὶ ἔρχονται καὶ λέγουσιν αὐτῷ· διὰ τί οἱ μαθηταὶ Ἰωάννου καὶ οἱ μαθηταὶ τῶν Φαρισαίων νηστεύουσιν, οἱ δὲ σοὶ μαθηταὶ οὐ νηστεύουσιν;¶"
41,Mark,2,19,Mark 2:19,Καὶ εἶπεν αὐτοῖς ὁ Ἰησοῦς· μὴ δύνανται οἱ υἱοὶ τοῦ νυμφῶνος ἐν ᾧ ὁ νυμφίος μετ᾽ (met᾽) αὐτῶν ἐστιν νηστεύειν; ὅσον χρόνον ἔχουσιν τὸν νυμφίον μετ᾽ (met᾽) αὐτῶν οὐ δύνανται νηστεύειν.
41,Mark,2,20,Mark 2:20,"ἐλεύσονται δὲ ἡμέραι ὅταν ἀπαρθῇ ἀπ᾽ (ap᾽) αὐτῶν ὁ νυμφίος, καὶ τότε νηστεύσουσιν ἐν ἐκείνῃ τῇ ἡμέρᾳ.¶"
41,Mark,2,21,Mark 2:21,"Καὶ οὐδεὶς ἐπίβλημα ῥάκους ἀγνάφου ἐπιράπτει ἐπὶ ἱμάτιον παλαιόν· εἰ δὲ μή, αἴρει τὸ πλήρωμα ἀπ᾽ (ap᾽) αὐτοῦ τὸ καινὸν τοῦ παλαιοῦ, καὶ χεῖρον σχίσμα γίνεται.¶"
41,Mark,2,22,Mark 2:22,"Καὶ οὐδεὶς βάλλει οἶνον νέον εἰς ἀσκοὺς παλαιούς· εἰ δὲ μή, ῥήξει ὁ οἶνος ὁ νέος τοὺς ἀσκούς, καὶ ὁ οἶνος ἀπόλλυται καὶ οἱ ἀσκοί ἀπολοῦνται· ἀλλ᾽ (all᾽) οἶνον νέον εἰς ἀσκοὺς καινούς βλητέον.¶"
41,Mark,2,23,Mark 2:23,"Καὶ ἐγένετο αὐτὸν ἐν τοῖς σάββασιν παραπορεύεσθαι διὰ τῶν σπορίμων, καὶ οἱ μαθηταὶ αὐτοῦ ἤρξαντο ὁδὸν ποιεῖν τίλλοντες τοὺς στάχυας."
41,Mark,2,24,Mark 2:24,καὶ οἱ Φαρισαῖοι ἔλεγον αὐτῷ· ἴδε τί ποιοῦσιν ἐν τοῖς σάββασιν ὃ οὐκ ἔξεστιν;¶
41,Mark,2,25,Mark 2:25,Καὶ αὐτὸς λέγει αὐτοῖς· οὐδέποτε ἀνέγνωτε τί ἐποίησεν Δαυὶδ ὅτε χρείαν ἔσχεν καὶ ἐπείνασεν αὐτὸς καὶ οἱ μετ᾽ (met᾽) αὐτοῦ;
41,Mark,2,26,Mark 2:26,"πῶς εἰσῆλθεν εἰς τὸν οἶκον τοῦ θεοῦ ἐπὶ Ἀβιαθὰρ τοῦ ἀρχιερέως καὶ τοὺς ἄρτους τῆς προθέσεως ἔφαγεν οὓς οὐκ ἔξεστιν φαγεῖν εἰ μὴ τοὺς ἱερεῖς, (hi'ereis) καὶ ἔδωκεν καὶ τοῖς σὺν αὐτῷ οὖσιν;"
41,Mark,2,27,Mark 2:27,"καὶ ἔλεγεν αὐτοῖς· τὸ σάββατον διὰ τὸν ἄνθρωπον ἐγένετο, καὶ οὐχ ὁ ἄνθρωπος διὰ τὸ σάββατον."
41,Mark,2,28,Mark 2:28,ὥστε κύριός ἐστιν ὁ υἱὸς τοῦ ἀνθρώπου καὶ τοῦ σαββάτου.¶
41,Mark,3,1,Mark 3:1,"Καὶ εἰσῆλθεν πάλιν εἰς τὴν συναγωγήν, καὶ ἦν ἐκεῖ ἄνθρωπος ἐξηραμμένην ἔχων τὴν χεῖρα,"
41,Mark,3,2,Mark 3:2,καὶ παρετήρουν αὐτὸν εἰ τοῖς σάββασιν θεραπεύσει αὐτὸν ἵνα κατηγορήσωσιν αὐτοῦ.
41,Mark,3,3,Mark 3:3,καὶ λέγει τῷ ἀνθρώπῳ τῷ τὴν ξηρὰν χεῖρα ἔχοντι· ἔγειρε εἰς τὸ μέσον.
41,Mark,3,4,Mark 3:4,"καὶ λέγει αὐτοῖς· ἔξεστιν τοῖς σάββασιν ἀγαθὸν ποιῆσαι ἢ κακοποιῆσαι, ψυχὴν σῶσαι ἢ ἀποκτεῖναι; οἱ δὲ ἐσιώπων."
41,Mark,3,5,Mark 3:5,"καὶ περιβλεψάμενος αὐτοὺς μετ᾽ (met᾽) ὀργῆς, συλλυπούμενος ἐπὶ τῇ πωρώσει τῆς καρδίας αὐτῶν, λέγει τῷ ἀνθρώπῳ· ἔκτεινον τὴν χεῖρα σου. καὶ ἐξέτεινεν, καὶ ἀπεκατεστάθη ἡ χεὶρ αὐτοῦ ὑγιὴς ὡς ἡ ἄλλη.¶"
41,Mark,3,6,Mark 3:6,Καὶ ἐξελθόντες οἱ Φαρισαῖοι εὐθὺς μετὰ τῶν Ἡρῳδιανῶν συμβούλιον ἐδίδουν κατ᾽ (kat᾽) αὐτοῦ ὅπως αὐτὸν ἀπολέσωσιν.¶
41,Mark,3,7,Mark 3:7,"Καὶ ὁ Ἰησοῦς μετὰ τῶν μαθητῶν αὐτοῦ ἀνεχώρησεν πρὸς τὴν θάλασσαν, καὶ πολὺ πλῆθος ἀπὸ τῆς Γαλιλαίας ἠκολούθησεν αὐτῷ καὶ ἀπὸ τῆς Ἰουδαίας"
41,Mark,3,8,Mark 3:8,"καὶ ἀπὸ Ἱεροσολύμων (Hi'erosolumōn) καὶ ἀπὸ τῆς Ἰδουμαίας καὶ πέραν τοῦ Ἰορδάνου καὶ οἱ περὶ Τύρον καὶ Σιδῶνα, πλῆθος πολὺ ἀκούοντες ὅσα ἐποίει ἦλθον πρὸς αὐτόν.¶"
41,Mark,3,9,Mark 3:9,Καὶ εἶπεν τοῖς μαθηταῖς αὐτοῦ ἵνα πλοιάριον προσκαρτερῇ αὐτῷ διὰ τὸν ὄχλον ἵνα μὴ θλίβωσιν αὐτόν.
41,Mark,3,10,Mark 3:10,πολλοὺς γὰρ ἐθεράπευσεν ὥστε ἐπιπίπτειν αὐτῷ ἵνα αὐτοῦ ἅψωνται ὅσοι εἶχον μάστιγας.
41,Mark,3,11,Mark 3:11,"καὶ τὰ πνεύματα τὰ ἀκάθαρτα, ὅταν αὐτὸν ἐθεώρουν, προσέπιπτον αὐτῷ καὶ ἔκραζον λέγοντες ὅτι σὺ εἶ ὁ υἱὸς τοῦ θεοῦ."
41,Mark,3,12,Mark 3:12,καὶ πολλὰ ἐπετίμα αὐτοῖς ἵνα μὴ αὐτὸν φανερὸν ποιήσωσιν.¶
41,Mark,3,13,Mark 3:13,"Καὶ ἀναβαίνει εἰς τὸ ὄρος καὶ προσκαλεῖται οὓς ἤθελεν αὐτός, καὶ ἀπῆλθον πρὸς αὐτόν.¶"
41,Mark,3,14,Mark 3:14,Καὶ ἐποίησεν δώδεκα οὓς καὶ ἀποστόλους ὠνόμασεν ἵνα ὦσιν μετ᾽ (met᾽) αὐτοῦ καὶ ἵνα ἀποστέλλῃ αὐτοὺς κηρύσσειν
41,Mark,3,15,Mark 3:15,καὶ ἔχειν ἐξουσίαν θεραπεύειν τὰς νόσους καὶ ἐκβάλλειν τὰ δαιμόνια.
41,Mark,3,16,Mark 3:16,"καὶ ἐποίησεν τοὺς δώδεκα καὶ ἐπέθηκεν ὄνομα τῷ Σίμωνι Πέτρον,"
41,Mark,3,17,Mark 3:17,"καὶ Ἰάκωβον τὸν τοῦ Ζεβεδαίου καὶ Ἰωάννην τὸν ἀδελφὸν τοῦ Ἰακώβου, καὶ ἐπέθηκεν αὐτοῖς ὀνόματα Βοανηργές, ὅ ἐστιν υἱοὶ βροντῆς·"
41,Mark,3,18,Mark 3:18,καὶ Ἀνδρέαν καὶ Φίλιππον καὶ Βαρθολομαῖον καὶ Μαθθαῖον καὶ Θωμᾶν καὶ Ἰάκωβον τὸν τοῦ Ἁλφαίου καὶ Θαδδαῖον καὶ Σίμωνα τὸν Καναναῖον
41,Mark,3,19,Mark 3:19,καὶ Ἰούδαν Ἰσκαριὼθ ὃς καὶ παρέδωκεν αὐτόν.¶
41,Mark,3,20,Mark 3:20,καὶ συνέρχεται πάλιν ὁ ὄχλος ὥστε μὴ δύνασθαι αὐτοὺς μηδὲ ἄρτον φαγεῖν.
41,Mark,3,21,Mark 3:21,καὶ ἀκούσαντες οἱ παρ᾽ (par᾽) αὐτοῦ ἐξῆλθον κρατῆσαι αὐτόν· ἔλεγον γὰρ ὅτι ἐξέστη.
41,Mark,3,22,Mark 3:22,καὶ οἱ γραμματεῖς οἱ ἀπὸ Ἱεροσολύμων (Hi'erosolumōn) καταβάντες ἔλεγον ὅτι Βεελζεβοὺλ ἔχει καὶ ὅτι ἐν τῷ ἄρχοντι τῶν δαιμονίων ἐκβάλλει τὰ δαιμόνια.¶
41,Mark,3,23,Mark 3:23,Καὶ προσκαλεσάμενος αὐτοὺς ἐν παραβολαῖς ἔλεγεν αὐτοῖς· πῶς δύναται σατανᾶς σατανᾶν ἐκβάλλειν;
41,Mark,3,24,Mark 3:24,"καὶ ἐὰν βασιλεία ἐφ᾽ (eph᾽) ἑαυτὴν (he'autēn) μερισθῇ, οὐ δύναται σταθῆναι ἡ βασιλεία ἐκείνη·"
41,Mark,3,25,Mark 3:25,"καὶ ἐὰν οἰκία ἐφ᾽ (eph᾽) ἑαυτὴν (he'autēn) μερισθῇ, οὐ δυνήσεται ἡ οἰκία ἐκείνη σταθῆναι·"
41,Mark,3,26,Mark 3:26,"καὶ εἰ ὁ σατανᾶς ἀνέστη ἐφ᾽ (eph᾽) ἑαυτὸν (he'auton) καὶ ἐμερίσθη, οὐ δύναται στῆναι ἀλλὰ τέλος ἔχει."
41,Mark,3,27,Mark 3:27,"ἀλλ᾽ (all᾽) οὐ δύναται οὐδεὶς εἰς τὴν οἰκίαν τοῦ ἰσχυροῦ εἰσελθὼν τὰ σκεύη αὐτοῦ διαρπάσαι, ἐὰν μὴ πρῶτον τὸν ἰσχυρὸν δήσῃ, καὶ τότε τὴν οἰκίαν αὐτοῦ διαρπάσει.¶"
41,Mark,3,28,Mark 3:28,Ἀμὴν λέγω ὑμῖν ὅτι πάντα ἀφεθήσεται τοῖς υἱοῖς τῶν ἀνθρώπων τὰ ἁμαρτήματα καὶ αἱ βλασφημίαι ὅσα ἐὰν βλασφημήσωσιν·
41,Mark,3,29,Mark 3:29,"ὃς δ᾽ (d᾽) ἂν βλασφημήσῃ εἰς τὸ πνεῦμα τὸ ἅγιον, οὐκ ἔχει ἄφεσιν εἰς τὸν αἰῶνα, ἀλλ᾽ (all᾽) ἔνοχός ἐστιν αἰωνίου ἁμαρτήματος·"
41,Mark,3,30,Mark 3:30,ὅτι ἔλεγον· πνεῦμα ἀκάθαρτον ἔχει.¶
41,Mark,3,31,Mark 3:31,Καὶ ἔρχεται ἡ μήτηρ αὐτοῦ καὶ οἱ ἀδελφοὶ αὐτοῦ. καὶ ἔξω στήκοντες ἀπέστειλαν πρὸς αὐτὸν καλοῦντες αὐτόν.
41,Mark,3,32,Mark 3:32,"καὶ ἐκάθητο περὶ αὐτὸν ὄχλος, καὶ λέγουσιν δὲ αὐτῷ· ἰδοὺ ἡ μήτηρ σου καὶ οἱ ἀδελφοί σου καὶ αἱ ἀδελφαί σου ἔξω ζητοῦσίν σε.¶"
41,Mark,3,33,Mark 3:33,Καὶ ἀποκριθεὶς αὐτοῖς λέγει· τίς ἐστιν ἡ μήτηρ μου καὶ οἱ ἀδελφοί μου;
41,Mark,3,34,Mark 3:34,καὶ περιβλεψάμενος τοὺς περὶ αὐτὸν κύκλῳ καθημένους λέγει· ἴδε ἡ μήτηρ μου καὶ οἱ ἀδελφοί μου.
41,Mark,3,35,Mark 3:35,"ὃς γὰρ ἂν ποιήσῃ τὸ θέλημα τοῦ θεοῦ, οὗτος ἀδελφός μου καὶ ἀδελφὴ μου καὶ μήτηρ ἐστίν.¶"
